,,TikTokLIVE おすすめワールドリスト（おすすめ条件は別シート）,,,,
ワールド名,URL（インバイト）,季節,明るさ,行事イベント,ロケーション,説明
"Avatar Testing Chamber",https://vrchat.com/home/world/wrld_a5e9ec13-36b1-4e63-ae0c-dab9023401f9/info,季節性なし,ライト操作 可,0 関連なし,部屋/住居,アバターの確認に最適 / 改変の確認
春空の休息地 -BloomingSky Rest-,https://vrchat.com/home/launch?worldId=wrld_84f03063-6013-43f6-a827-995a512a617e/info,春,ライト操作 可,4 お花見,公園,画面全体がピンクにできる。桜
神穣小学校 shinjo-es,https://vrchat.com/home/launch?worldId=wrld_38ee1c16-3109-4ec2-a883-9338c9654e01/info,春,昼,0 関連なし,学校,"教室
少し明るめなので、レベル補正とブルームを要調整"
Gion Street - 祇園通り日本 ,https://vrchat.com/home/launch?worldId=wrld_d048292b-42ad-4204-9372-0103d9a46f71/info,春,昼,0 関連なし,神社/和風,"アバターの明るさ調整ギミック必須：Light Limit Changer
その変わり、映える和風/神社がある。海外ターゲットに適している。"
RadDolls Pier Café,https://vrchat.com/home/launch?worldId=wrld_0340e2e5-e83e-49af-b7e8-942ebe45c7fb/info,夏,昼,0 関連なし,都市,世界観がかっこいい　カフェ部分あり
Deep Blue,https://vrchat.com/home/launch?worldId=wrld_f7a383bc-c925-4696-85c2-2996c0a40112/info,夏,昼,8 海/ビーチ,海,王道のビーチ、青い空と砂浜
Waiting ⁄ 待ち,https://vrchat.com/home/launch?worldId=wrld_7ee3b148-348d-487e-853e-9babcd133a35/info,夏,昼,8 海/ビーチ,海,"画面全体が青～白にできる。海と青空
Harimさんのワールド全般おすすめ"
Blooming ⁄ 開花,https://vrchat.com/home/launch?worldId=wrld_8545e31b-e5f9-4227-b3ad-f985ef496adf/info,秋,昼,0 関連なし,神社/和風,"ドラマチックな場所
Harimさんのワールド全般おすすめ"
Unity Japan Office Metaverse,https://vrchat.com/home/launch?worldId=wrld_48215488-6465-476c-bde0-f88f4e500cf7/info,季節性なし,明,0 関連なし,オフィス/事務所,オフィス / 会社 / 会議
秋に染まる灯篭川-The lantern river dyed in autumn-,https://vrchat.com/home/launch?worldId=wrld_0f3e9e91-6295-4303-a297-8c518c069820/info,秋,明,0 関連なし,公園,秋の木陰、紅葉で落ち着いた雰囲気
小雨のあの日-A drizzly day ,https://vrchat.com/home/launch?worldId=wrld_269fa2ee-33e6-4505-b44f-fd1b3e4b6262/info,季節性なし,夕,0 関連なし,都市,"ハイコントラストでドラマチック
画面構成が綺麗にできればTikTokで目に留まる可能性有。要調整"
新宿ライブストリート ⁄ Shinjuku Live Street,https://vrchat.com/home/launch?worldId=wrld_c82a5c14-97a5-4782-a034-d897d2d943a2/info,季節性なし,暗,0 関連なし,"都市, 駅",音楽イベント/企画に向いている。場所によっては明るい
deep fog,https://vrchat.com/home/launch?worldId=wrld_20b24354-d67f-4622-9415-e1d14af60639/info,季節性なし,暗,0 関連なし,都市,"暗いが背景が白いので、ドラマチックな演出が可能
演出意図があれば効果的なワールド"
星巡りの大聖堂 ～ Charlotte's Moonlight Cathedral,https://vrchat.com/home/launch?worldId=wrld_7112248e-23e5-48d4-a63b-7cc248189422/info,季節性なし,暗,0 関連なし,教会,"暗めだが、教会で神聖な雰囲気が出せる
レベル補正を上げたり等して画面が調整できればいい感じ"
竹影の夏祭り,https://vrchat.com/home/launch?worldId=wrld_ee1d8944-9e3f-41bb-bf8c-aa0009ef2a08/info,夏,暗,7 祭り/花火,神社/和風,"アバターの明るさ調整ギミック必須：Light Limit Changer
夏にはいい感じの花火と雰囲気。ブルームとレベル補正要調整の事"
